time,co2,AT
307,420.43,5.167
308,420.627,5.738
309,421.812,4.576
310,421.545,5.403
311,421.188,6.379
312,421.461,6.143
313,421.48,6.136
314,421.093,7.296
315,421.159,7.378
316,421.299,7.351
317,421.559,7.768
318,421.434,7.57
319,421.109,6.364
320,420.999,6.391
321,421.024,6.232
322,421.071,6.427
323,421.483,6.019
324,423.266,5.939
325,422.619,6.558
326,431.173,6.669
327,421.629,7.397
328,421.301,7.717
329,421.561,7.077
330,421.645,6.087
331,421.795,5.36
332,422.214,4.488
333,421.926,4.88
334,422.008,3.923
335,422.138,3.975
336,423.154,3.753
337,422.854,4.47
338,422.244,4.514
339,423.347,4.032
340,422.67,4.306
341,423.102,4.296
342,422.101,4.538
343,422.533,3.655
344,422.046,3.718
345,421.373,4.7
346,421.748,5.499
347,420.493,6.317
348,422.23,5.807
349,420.44,5.505
350,426.488,4.513
351,430.574,3.393
352,431.649,2.98
353,422.648,4.845
354,422.676,5.026
355,423.071,4.498
356,423.506,5.955
357,422.422,6.641
358,421.859,6.597
359,422.006,7.149
